x,y
662.550048828125,1
671.5679321289062,3.8355507850646973
680.09814453125,8.093442916870117
686.936767578125,14.766849517822266
692.4473876953125,22.598222732543945
700.028076171875,28.35916519165039
708.2191162109375,33.312171936035156
717.0333251953125,35.36090087890625
724.9107666015625,38.78687286376953
730.02734375,44.47624206542969
733.1309814453125,35.572566986083984
728.5703735351562,27.371627807617188
733.8736572265625,20.89616584777832
742.3939208984375,25.11798667907715
749.0586547851562,31.733930587768555
744.4149169921875,39.5028076171875
751.9341430664062,45.04076385498047
761.010498046875,47.59074401855469
767.5330810546875,40.77170944213867
775.7926635742188,39.00149917602539
780.067138671875,47.4708366394043
782.6585693359375,56.687767028808594
783.4299926757812,66.21472930908203
781.883056640625,75.65657806396484
787.8023071289062,71.21550750732422
790.2816162109375,61.976131439208984
790.8052368164062,52.420677185058594
797.3671875,48.37723922729492
801.4260864257812,56.968040466308594
802.2615356445312,66.4522476196289
801.0218505859375,75.9523696899414
800.3807373046875,85.50965881347656
802.61767578125,94.4504165649414
811.7344970703125,94.33619689941406
818.2124633789062,87.41848754882812
820.7559814453125,78.25215911865234
820.910888671875,68.67533111572266
820.8033447265625,59.093685150146484
820.9889526367188,49.514556884765625
822.1931762695312,40.036930084228516
830.4371337890625,37.41023635864258
839.7866821289062,39.48810577392578
848.8375244140625,42.61676025390625
857.421142578125,46.86070251464844
865.427001953125,52.11882400512695
873.8480224609375,56.67595672607422
882.480712890625,60.83000946044922
890.0762329101562,66.62567138671875
896.21142578125,73.97006225585938
901.4008178710938,82.02306365966797
906.3519287109375,90.2270736694336
911.1513061523438,98.52053833007812
915.1806030273438,107.17449188232422
915.6311645507812,116.69671630859375
914.4839477539062,126.19124603271484
916.9151611328125,135.35739135742188
925.26904296875,139.54580688476562
934.1500244140625,141.09841918945312
934.9136962890625,132.10079956054688
934.5689697265625,122.5261459350586
933.7659912109375,112.98670196533203
933.8148193359375,103.78132629394531
942.2867431640625,103.22077941894531
944.3215942382812,112.43885803222656
944.8922119140625,121.9932861328125
946.9901733398438,131.33534240722656
950.015625,140.42562866210938
953.97509765625,149.0889892578125
962.2960815429688,153.5214080810547
971.131591796875,157.22616577148438
979.6831665039062,161.23681640625
981.8290405273438,170.22317504882812
981.4542236328125,179.797607421875
981.2457885742188,189.37757873535156
980.8722534179688,198.9520263671875
979.991455078125,208.49171447753906
978.0585327148438,217.85986328125
973.3824462890625,226.1765899658203
974.9590454101562,235.06642150878906
973.7742919921875,243.81280517578125
971.6784057617188,253.1602783203125
966.5852661132812,261.03021240234375
958.4404296875,266.0645446777344
950.76708984375,271.7818603515625
944.6881103515625,279.14453125
939.433349609375,287.0685729980469
931.43408203125,292.3060302734375
924.1800537109375,298.5440673828125
918.0220947265625,305.8512878417969
916.8051147460938,315.15924072265625
918.8367919921875,324.3927001953125
910.5985717773438,328.65875244140625
901.2977294921875,330.93450927734375
896.3030395507812,338.3358154296875
895.991455078125,347.909912109375
896.6043701171875,357.46807861328125
898.2974243164062,366.8935852050781
900.8513793945312,376.12530517578125
902.6588745117188,385.53448486328125
903.90185546875,395.03070068359375
904.59228515625,404.5880432128906
905.733154296875,414.09796142578125
905.3992919921875,423.3684997558594
899.6488647460938,430.9501647949219
